location,count,link
"missoula",3,"https://dcnb.github.io/mtech/browse.html#missoula"
"thompson river",2,"https://dcnb.github.io/mtech/browse.html#thompson%20river"
"granite",2,"https://dcnb.github.io/mtech/browse.html#granite"
"silver lake",2,"https://dcnb.github.io/mtech/browse.html#silver%20lake"
"white pine",2,"https://dcnb.github.io/mtech/browse.html#white%20pine"
"moose lake",2,"https://dcnb.github.io/mtech/browse.html#moose%20lake"
"cabinet",2,"https://dcnb.github.io/mtech/browse.html#cabinet"
"prospect creek",2,"https://dcnb.github.io/mtech/browse.html#prospect%20creek"
"silver butte",2,"https://dcnb.github.io/mtech/browse.html#silver%20butte"
"trout creek",2,"https://dcnb.github.io/mtech/browse.html#trout%20creek"
"alps",2,"https://dcnb.github.io/mtech/browse.html#alps"
"antelope creek",2,"https://dcnb.github.io/mtech/browse.html#antelope%20creek"
"cramer creek",2,"https://dcnb.github.io/mtech/browse.html#cramer%20creek"
"petty creek",2,"https://dcnb.github.io/mtech/browse.html#petty%20creek"
"rock creek",2,"https://dcnb.github.io/mtech/browse.html#rock%20creek"
"seeley",2,"https://dcnb.github.io/mtech/browse.html#seeley"
"three mile",2,"https://dcnb.github.io/mtech/browse.html#three%20mile"
"philipsburg*",2,"https://dcnb.github.io/mtech/browse.html#philipsburg*"
"copper cliff",2,"https://dcnb.github.io/mtech/browse.html#copper%20cliff"
"various",1,"https://dcnb.github.io/mtech/browse.html#various"
"ravalli",1,"https://dcnb.github.io/mtech/browse.html#ravalli"
"sanders",1,"https://dcnb.github.io/mtech/browse.html#sanders"
"lincoln",1,"https://dcnb.github.io/mtech/browse.html#lincoln"
